Airline,Airline_encoded,Source,Source_encoded,Destination,Destination_encoded,Date,Month,Year,Hour,Minute,Price
Air India,1,Kolkata,3,Banglore,0,18,5,2019,14,15,6245
Jet Airways,4,Banglore,0,Delhi,2,6,3,2019,7,0,19225
Jet Airways,4,Delhi,2,Cochin,1,3,6,2019,7,5,14924
Multiple carriers,6,Delhi,2,Cochin,1,21,5,2019,7,5,9646
Air India,1,Banglore,0,Delhi,2,15,3,2019,6,45,8714
Jet Airways,4,Delhi,2,Cochin,1,18,5,2019,20,55,12373
Air Asia,0,Banglore,0,Delhi,2,6,5,2019,11,10,3383
Multiple carriers,6,Delhi,2,Cochin,1,21,3,2019,9,0,13062
SpiceJet,8,Banglore,0,Delhi,2,24,3,2019,5,45,3527
IndiGo,3,Banglore,0,Delhi,2,27,5,2019,4,0,3943
Air India,1,Chennai,1,Kolkata,4,3,5,2019,11,40,4667
Air India,1,Kolkata,3,Banglore,0,15,5,2019,19,0,6117
Jet Airways,4,Delhi,2,Cochin,1,27,6,2019,23,5,11150
Jet Airways,4,Delhi,2,Cochin,1,9,3,2019,11,0,7202
Jet Airways,4,Kolkata,3,Banglore,0,1,5,2019,9,35,12121
IndiGo,3,Banglore,0,Delhi,2,24,3,2019,22,20,4377
IndiGo,3,Banglore,0,Delhi,2,18,6,2019,21,15,3943
Air Asia,0,Banglore,0,Delhi,2,3,4,2019,23,55,4483
Jet Airways,4,Kolkata,3,Banglore,0,24,3,2019,19,45,14231
Air India,1,Banglore,0,Delhi,2,1,3,2019,8,50,17345
Vistara,10,Chennai,1,Kolkata,4,6,3,2019,7,5,7414
Multiple carriers,6,Delhi,2,Cochin,1,6,5,2019,19,0,8073
Vistara,10,Mumbai,4,Hyderabad,3,6,3,2019,15,40,12395
Air India,1,Kolkata,3,Banglore,0,6,6,2019,9,25,8366
Air India,1,Delhi,2,Cochin,1,3,4,2019,6,5,5117
Multiple carriers,6,Delhi,2,Cochin,1,3,6,2019,8,45,12524
IndiGo,3,Delhi,2,Cochin,1,15,5,2019,15,0,7191
Vistara,10,Chennai,1,Kolkata,4,24,5,2019,7,5,3687
IndiGo,3,Delhi,2,Cochin,1,24,6,2019,10,35,5894
Vistara,10,Banglore,0,Delhi,2,24,4,2019,9,45,5403
Air India,1,Mumbai,4,Hyderabad,3,6,5,2019,13,55,3625
Air India,1,Delhi,2,Cochin,1,21,5,2019,5,55,10861
IndiGo,3,Chennai,1,Kolkata,4,12,3,2019,13,20,6297
Jet Airways,4,Mumbai,4,Hyderabad,3,1,6,2019,7,5,5678
Jet Airways,4,Banglore,0,Delhi,2,9,3,2019,5,45,9134
Multiple carriers,6,Delhi,2,Cochin,1,24,6,2019,11,40,10791
Jet Airways,4,Delhi,2,Cochin,1,24,6,2019,23,5,12819
IndiGo,3,Delhi,2,Cochin,1,21,3,2019,5,5,6893
Vistara,10,Banglore,0,Delhi,2,9,3,2019,9,50,7240
GoAir,2,Banglore,0,Delhi,2,3,4,2019,11,40,3898
IndiGo,3,Mumbai,4,Hyderabad,3,3,4,2019,6,25,4049
Jet Airways,4,Delhi,2,Cochin,1,15,6,2019,17,30,10262
SpiceJet,8,Chennai,1,Kolkata,4,21,3,2019,8,20,3332
Jet Airways,4,Kolkata,3,Banglore,0,9,6,2019,21,10,10844
Jet Airways,4,Banglore,0,Delhi,2,24,3,2019,19,55,7229
Jet Airways,4,Kolkata,3,Banglore,0,6,5,2019,6,30,13941
IndiGo,3,Delhi,2,Cochin,1,27,6,2019,11,25,5894
Multiple carriers,6,Delhi,2,Cochin,1,18,5,2019,9,0,10197
Jet Airways,4,Banglore,0,Delhi,2,6,3,2019,14,5,13712
IndiGo,3,Delhi,2,Cochin,1,24,6,2019,2,0,5636
Jet Airways,4,Delhi,2,Cochin,1,6,6,2019,9,40,13014
Jet Airways,4,Kolkata,3,Banglore,0,1,4,2019,8,25,7064
Jet Airways,4,Kolkata,3,Banglore,0,24,5,2019,20,25,10703
Multiple carriers,6,Delhi,2,Cochin,1,27,5,2019,13,15,9646
Multiple carriers,6,Delhi,2,Cochin,1,6,3,2019,2,15,17057
Jet Airways,4,Banglore,0,Delhi,2,12,3,2019,16,55,13817
Air India,1,Delhi,2,Cochin,1,6,3,2019,5,55,13748
Air India,1,Kolkata,3,Banglore,0,21,4,2019,20,45,4880
IndiGo,3,Chennai,1,Kolkata,4,21,6,2019,5,15,3540
SpiceJet,8,Banglore,0,Delhi,2,15,5,2019,5,55,3257
Jet Airways,4,Banglore,0,Delhi,2,3,6,2019,19,50,6478
Jet Airways,4,Mumbai,4,Hyderabad,3,18,6,2019,7,5,8040
Jet Airways,4,Delhi,2,Cochin,1,12,6,2019,20,0,14300
Jet Airways,4,Kolkata,3,Banglore,0,15,5,2019,8,25,14781
Jet Airways,4,Kolkata,3,Banglore,0,9,6,2019,20,0,14939
Jet Airways,4,Delhi,2,Cochin,1,24,6,2019,20,55,10262
Air India,1,Kolkata,3,Banglore,0,12,5,2019,14,35,6528
Air India,1,Banglore,0,Delhi,2,1,5,2019,6,10,6121
Jet Airways,4,Delhi,2,Cochin,1,18,5,2019,19,30,13029
Multiple carriers,6,Delhi,2,Cochin,1,27,3,2019,11,40,11421
Multiple carriers,6,Delhi,2,Cochin,1,27,3,2019,4,45,7574
Air India,1,Delhi,2,Cochin,1,9,5,2019,12,55,11596
Jet Airways,4,Delhi,2,Cochin,1,24,5,2019,23,5,15129
Jet Airways,4,Banglore,0,Delhi,2,18,3,2019,14,5,13555
IndiGo,3,Banglore,0,Delhi,2,12,4,2019,18,55,5780
Vistara,10,Kolkata,3,Banglore,0,12,5,2019,20,20,9397
Jet Airways,4,Delhi,2,Cochin,1,6,3,2019,18,15,17024
GoAir,2,Delhi,2,Cochin,1,27,6,2019,7,0,5281
Multiple carriers,6,Delhi,2,Cochin,1,18,5,2019,7,5,10348
Air India,1,Delhi,2,Cochin,1,6,3,2019,17,20,12677
Multiple carriers,6,Delhi,2,Cochin,1,3,3,2019,15,25,15147
Vistara,10,Banglore,0,Delhi,2,12,6,2019,7,0,4668
Jet Airways,4,Delhi,2,Cochin,1,9,5,2019,7,5,15554
SpiceJet,8,Banglore,0,Delhi,2,9,4,2019,5,55,3971
Air India,1,Mumbai,4,Hyderabad,3,3,5,2019,15,0,3100
Jet Airways,4,Kolkata,3,Banglore,0,6,5,2019,20,0,9663
Air India,1,Delhi,2,Cochin,1,1,3,2019,23,0,27430
IndiGo,3,Chennai,1,Kolkata,4,12,5,2019,5,15,3540
Air India,1,Kolkata,3,Banglore,0,21,5,2019,12,0,10676
Jet Airways,4,Kolkata,3,Banglore,0,12,6,2019,14,5,13044
Jet Airways,4,Kolkata,3,Banglore,0,6,5,2019,20,0,14388
IndiGo,3,Banglore,0,Delhi,2,24,6,2019,4,0,3943
IndiGo,3,Chennai,1,Kolkata,4,3,6,2019,14,45,3597
Air India,1,Banglore,0,Delhi,2,21,3,2019,11,50,5932
Jet Airways,4,Delhi,2,Cochin,1,15,6,2019,11,30,10262
Vistara,10,Delhi,2,Cochin,1,12,5,2019,14,40,6216
IndiGo,3,Kolkata,3,Banglore,0,15,6,2019,20,25,4804
Multiple carriers,6,Delhi,2,Cochin,1,21,5,2019,11,30,14067
Jet Airways,4,Delhi,2,Cochin,1,18,5,2019,19,10,15129
Jet Airways,4,Delhi,2,Cochin,1,6,6,2019,6,45,13376
Air India,1,Delhi,2,Cochin,1,27,6,2019,22,0,10441
Jet Airways,4,Banglore,0,Delhi,2,24,5,2019,6,0,4030
Jet Airways,4,Delhi,2,Cochin,1,3,3,2019,8,0,17024
Multiple carriers,6,Delhi,2,Cochin,1,9,4,2019,17,30,13017
GoAir,2,Kolkata,3,Banglore,0,6,6,2019,23,30,6686
IndiGo,3,Delhi,2,Cochin,1,15,6,2019,2,0,5636
IndiGo,3,Delhi,2,Cochin,1,9,6,2019,7,35,6442
Multiple carriers,6,Delhi,2,Cochin,1,21,5,2019,13,5,9486
Jet Airways,4,Kolkata,3,Banglore,0,21,5,2019,20,0,10844
Jet Airways,4,Delhi,2,Cochin,1,3,6,2019,20,0,15318
Air India,1,Delhi,2,Cochin,1,3,4,2019,12,30,5117
IndiGo,3,Delhi,2,Cochin,1,24,6,2019,15,10,6147
Multiple carriers,6,Delhi,2,Cochin,1,9,6,2019,12,50,7005
SpiceJet,8,Kolkata,3,Banglore,0,3,4,2019,22,20,3873
Jet Airways,4,Delhi,2,Cochin,1,21,3,2019,18,25,9270
GoAir,2,Banglore,0,Delhi,2,27,6,2019,11,40,3898
Jet Airways,4,Kolkata,3,Banglore,0,12,5,2019,8,25,14781
Jet Airways,4,Kolkata,3,Banglore,0,24,5,2019,20,0,8586
Air India,1,Kolkata,3,Banglore,0,9,5,2019,8,20,10697
Jet Airways,4,Delhi,2,Cochin,1,27,6,2019,20,0,14300
IndiGo,3,Banglore,0,Delhi,2,3,3,2019,18,55,8855
Jet Airways,4,Kolkata,3,Banglore,0,12,5,2019,16,30,10844
Jet Airways,4,Delhi,2,Cochin,1,6,3,2019,2,15,17024
Jet Airways,4,Kolkata,3,Banglore,0,1,5,2019,9,35,9314
IndiGo,3,Banglore,0,Delhi,2,24,3,2019,0,40,4777
Air India,1,Kolkata,3,Banglore,0,9,6,2019,12,0,7662
IndiGo,3,Delhi,2,Cochin,1,9,5,2019,6,50,6442
SpiceJet,8,Delhi,2,Cochin,1,12,6,2019,8,45,5264
Jet Airways,4,Delhi,2,Cochin,1,27,5,2019,13,0,12898
Air India,1,Mumbai,4,Hyderabad,3,3,3,2019,13,55,6092
SpiceJet,8,Banglore,0,Delhi,2,21,5,2019,5,55,3311
Jet Airways,4,Delhi,2,Cochin,1,27,3,2019,19,15,6540
IndiGo,3,Banglore,0,Delhi,2,27,5,2019,1,30,3419
Jet Airways,4,Delhi,2,Cochin,1,3,4,2019,14,0,5177
Air India,1,Delhi,2,Cochin,1,18,4,2019,18,5,8246
Jet Airways,4,Kolkata,3,Banglore,0,9,6,2019,9,35,14676
Multiple carriers,6,Delhi,2,Cochin,1,27,6,2019,11,30,13587
Jet Airways,4,Kolkata,3,Banglore,0,6,5,2019,21,10,9663
Jet Airways,4,Kolkata,3,Banglore,0,12,6,2019,16,30,13044
IndiGo,3,Delhi,2,Cochin,1,3,4,2019,20,25,5073
Vistara,10,Kolkata,3,Banglore,0,21,5,2019,17,0,9345
Jet Airways,4,Kolkata,3,Banglore,0,6,5,2019,14,5,9663
Multiple carriers,6,Delhi,2,Cochin,1,21,5,2019,8,0,14277
Jet Airways,4,Delhi,2,Cochin,1,1,6,2019,10,0,10262
Jet Airways,4,Mumbai,4,Hyderabad,3,27,3,2019,19,35,5678
Multiple carriers,6,Delhi,2,Cochin,1,15,5,2019,16,0,13727
Jet Airways,4,Kolkata,3,Banglore,0,6,5,2019,20,0,9663
IndiGo,3,Chennai,1,Kolkata,4,12,5,2019,14,45,3858
SpiceJet,8,Delhi,2,Cochin,1,24,6,2019,8,45,4812
IndiGo,3,Delhi,2,Cochin,1,27,6,2019,21,50,5775
Jet Airways,4,Kolkata,3,Banglore,0,6,6,2019,9,35,10539
IndiGo,3,Kolkata,3,Banglore,0,3,6,2019,15,30,4804
Air Asia,0,Banglore,0,Delhi,2,12,6,2019,11,10,3383
IndiGo,3,Banglore,0,Delhi,2,3,3,2019,12,10,8738
Air India,1,Delhi,2,Cochin,1,27,3,2019,5,15,7165
IndiGo,3,Delhi,2,Cochin,1,24,6,2019,16,10,6412
Jet Airways,4,Banglore,0,Delhi,2,27,6,2019,18,55,8016
Jet Airways,4,Banglore,0,Delhi,2,12,3,2019,20,35,11087
SpiceJet,8,Chennai,1,Kolkata,4,27,6,2019,9,45,3543
Jet Airways,4,Kolkata,3,Banglore,0,12,6,2019,16,30,12471
Jet Airways,4,Delhi,2,Cochin,1,24,6,2019,9,0,10262
Air India,1,Banglore,0,Delhi,2,18,3,2019,13,20,4441
Multiple carriers,6,Delhi,2,Cochin,1,27,3,2019,7,5,12537
GoAir,2,Kolkata,3,Banglore,0,24,3,2019,22,25,10091
Air India,1,Banglore,0,Delhi,2,3,6,2019,21,5,6961
IndiGo,3,Delhi,2,Cochin,1,24,4,2019,5,35,5013
Air India,1,Delhi,2,Cochin,1,18,5,2019,5,10,6934
Multiple carriers,6,Delhi,2,Cochin,1,3,6,2019,6,40,10877
Jet Airways,4,Banglore,0,Delhi,2,18,4,2019,15,15,7229
IndiGo,3,Delhi,2,Cochin,1,27,3,2019,16,0,7048
Vistara,10,Banglore,0,Delhi,2,27,6,2019,17,0,4878
Jet Airways,4,Kolkata,3,Banglore,0,21,5,2019,14,5,10844
Jet Airways,4,Delhi,2,Cochin,1,18,5,2019,23,5,15129
IndiGo,3,Banglore,0,Delhi,2,12,5,2019,0,30,3943
SpiceJet,8,Delhi,2,Cochin,1,6,6,2019,6,5,5583
Multiple carriers,6,Delhi,2,Cochin,1,6,6,2019,7,5,9646
Multiple carriers,6,Delhi,2,Cochin,1,3,6,2019,8,30,7677
IndiGo,3,Delhi,2,Cochin,1,1,6,2019,5,10,6842
Jet Airways,4,Mumbai,4,Hyderabad,3,24,6,2019,8,45,4995
Vistara,10,Kolkata,3,Banglore,0,9,6,2019,7,10,9555
IndiGo,3,Banglore,0,Delhi,2,1,6,2019,1,30,4077
Jet Airways,4,Banglore,0,Delhi,2,12,5,2019,15,15,7229
Multiple carriers,6,Delhi,2,Cochin,1,9,6,2019,9,0,12192
Air India,1,Banglore,0,Delhi,2,12,4,2019,10,0,5911
Air India,1,Delhi,2,Cochin,1,12,6,2019,9,0,8372
Jet Airways,4,Mumbai,4,Hyderabad,3,18,3,2019,7,10,4995
Multiple carriers,6,Delhi,2,Cochin,1,9,5,2019,10,0,14323
Jet Airways,4,Delhi,2,Cochin,1,9,6,2019,5,30,13014
Air India,1,Delhi,2,Cochin,1,6,6,2019,14,25,13591
Jet Airways,4,Delhi,2,Cochin,1,3,3,2019,5,25,18799
IndiGo,3,Banglore,0,Delhi,2,27,4,2019,23,30,3943
SpiceJet,8,Mumbai,4,Hyderabad,3,21,5,2019,5,45,1965
Jet Airways,4,Mumbai,4,Hyderabad,3,27,5,2019,10,20,4995
Air India,1,Kolkata,3,Banglore,0,24,3,2019,16,50,14641
Air India,1,Kolkata,3,Banglore,0,12,4,2019,20,45,4460
Air India,1,Delhi,2,Cochin,1,18,5,2019,13,0,10191
Jet Airways,4,Delhi,2,Cochin,1,9,3,2019,2,15,13843
IndiGo,3,Delhi,2,Cochin,1,1,5,2019,21,50,6349
Air Asia,0,Kolkata,3,Banglore,0,1,5,2019,10,20,4409
Jet Airways,4,Delhi,2,Cochin,1,6,3,2019,18,15,17024
Multiple carriers,6,Delhi,2,Cochin,1,18,5,2019,7,5,13727
IndiGo,3,Banglore,0,Delhi,2,15,3,2019,18,25,8855
Multiple carriers,6,Delhi,2,Cochin,1,24,6,2019,8,45,12524
Jet Airways,4,Banglore,0,Delhi,2,18,3,2019,11,40,13555
Jet Airways,4,Kolkata,3,Banglore,0,6,6,2019,6,30,10844
Multiple carriers,6,Delhi,2,Cochin,1,9,6,2019,9,0,13587
SpiceJet,8,Chennai,1,Kolkata,4,12,6,2019,9,45,3543
Vistara,10,Chennai,1,Kolkata,4,18,3,2019,7,5,4842
IndiGo,3,Banglore,0,Delhi,2,24,4,2019,23,30,3943
Jet Airways,4,Delhi,2,Cochin,1,9,6,2019,19,15,10577
IndiGo,3,Delhi,2,Cochin,1,15,5,2019,10,35,6979
Vistara,10,Chennai,1,Kolkata,4,27,6,2019,17,45,11982
SpiceJet,8,Delhi,2,Cochin,1,6,6,2019,8,45,5264
Vistara,10,Delhi,2,Cochin,1,3,3,2019,6,0,8001
Air India,1,Delhi,2,Cochin,1,1,6,2019,19,45,10651
Jet Airways,4,Kolkata,3,Banglore,0,24,5,2019,16,30,10844
Multiple carriers,6,Delhi,2,Cochin,1,27,3,2019,9,45,6601
Air India,1,Delhi,2,Cochin,1,21,3,2019,19,0,6587
SpiceJet,8,Mumbai,4,Hyderabad,3,21,3,2019,13,10,3173
Air India,1,Banglore,0,Delhi,2,9,5,2019,10,0,5228
Jet Airways,4,Banglore,0,Delhi,2,21,6,2019,7,10,5769
Jet Airways,4,Delhi,2,Cochin,1,6,6,2019,8,0,14714
Jet Airways,4,Delhi,2,Cochin,1,3,6,2019,5,30,13014
IndiGo,3,Banglore,0,Delhi,2,3,6,2019,22,10,3359
GoAir,2,Banglore,0,Delhi,2,3,3,2019,20,55,6722
IndiGo,3,Kolkata,3,Banglore,0,18,3,2019,9,35,4462
IndiGo,3,Delhi,2,Cochin,1,9,3,2019,4,55,6171
Air India,1,Kolkata,3,Banglore,0,21,5,2019,5,50,12303
Multiple carriers,6,Delhi,2,Cochin,1,21,3,2019,11,40,7695
IndiGo,3,Delhi,2,Cochin,1,24,6,2019,11,25,5684
Air India,1,Kolkata,3,Banglore,0,12,6,2019,16,50,8366
Air India,1,Chennai,1,Kolkata,4,1,3,2019,11,40,19630
Jet Airways,4,Banglore,0,Delhi,2,6,3,2019,14,5,13502
Jet Airways,4,Kolkata,3,Banglore,0,1,5,2019,21,10,14781
Multiple carriers,6,Delhi,2,Cochin,1,12,6,2019,7,10,6513
Air India,1,Delhi,2,Cochin,1,1,6,2019,7,0,9929
Multiple carriers,6,Delhi,2,Cochin,1,6,6,2019,17,50,18275
Air India,1,Delhi,2,Cochin,1,9,4,2019,6,5,4487
IndiGo,3,Mumbai,4,Hyderabad,3,15,3,2019,21,20,2754
Air India,1,Mumbai,4,Hyderabad,3,27,3,2019,6,20,2575
SpiceJet,8,Kolkata,3,Banglore,0,12,6,2019,15,55,8224
Air India,1,Delhi,2,Cochin,1,9,3,2019,20,30,8991
IndiGo,3,Delhi,2,Cochin,1,24,6,2019,5,35,5000
Jet Airways,4,Kolkata,3,Banglore,0,12,6,2019,18,55,8529
Air India,1,Delhi,2,Cochin,1,3,3,2019,6,5,14042
Jet Airways,4,Banglore,0,Delhi,2,24,5,2019,11,10,4030
Jet Airways,4,Kolkata,3,Banglore,0,6,6,2019,18,55,10844
IndiGo,3,Kolkata,3,Banglore,0,6,5,2019,21,25,4804
Multiple carriers,6,Delhi,2,Cochin,1,27,5,2019,17,30,7308
IndiGo,3,Banglore,0,Delhi,2,12,5,2019,16,55,4823
Jet Airways,4,Delhi,2,Cochin,1,24,6,2019,9,0,10262
Jet Airways,4,Delhi,2,Cochin,1,27,5,2019,20,55,12898
Air India,1,Banglore,0,Delhi,2,12,3,2019,17,25,12778
IndiGo,3,Delhi,2,Cochin,1,3,3,2019,4,45,14871
Air India,1,Delhi,2,Cochin,1,21,3,2019,13,20,8708
Jet Airways,4,Kolkata,3,Banglore,0,6,6,2019,20,0,10844
SpiceJet,8,Mumbai,4,Hyderabad,3,6,3,2019,5,45,4129
IndiGo,3,Kolkata,3,Banglore,0,18,5,2019,21,25,4804
Jet Airways,4,Banglore,0,Delhi,2,6,5,2019,8,20,7229
Jet Airways,4,Banglore,0,Delhi,2,21,3,2019,7,0,7832
SpiceJet,8,Chennai,1,Kolkata,4,18,3,2019,9,30,3859
Multiple carriers,6,Delhi,2,Cochin,1,6,6,2019,7,30,9001
Vistara,10,Banglore,0,Delhi,2,9,5,2019,17,0,4878
IndiGo,3,Mumbai,4,Hyderabad,3,3,5,2019,2,35,2754
Vistara,10,Banglore,0,Delhi,2,27,6,2019,7,0,4668
Air Asia,0,Kolkata,3,Banglore,0,12,5,2019,10,20,5216
Jet Airways,4,Delhi,2,Cochin,1,6,6,2019,5,30,10368
IndiGo,3,Delhi,2,Cochin,1,9,3,2019,6,40,8146
Jet Airways,4,Delhi,2,Cochin,1,27,3,2019,13,0,12242
Jet Airways,4,Banglore,0,Delhi,2,15,3,2019,8,0,9134
Air India,1,Delhi,2,Cochin,1,6,6,2019,13,15,10939
Air India,1,Delhi,2,Cochin,1,6,6,2019,10,55,11753
SpiceJet,8,Kolkata,3,Banglore,0,24,4,2019,17,10,4174
Jet Airways,4,Kolkata,3,Banglore,0,21,5,2019,20,0,10844
Jet Airways,4,Delhi,2,Cochin,1,3,6,2019,16,0,14714
Jet Airways,4,Kolkata,3,Banglore,0,12,6,2019,6,30,9899
IndiGo,3,Delhi,2,Cochin,1,3,3,2019,9,10,14871
IndiGo,3,Chennai,1,Kolkata,4,6,3,2019,13,20,7295
Air India,1,Delhi,2,Cochin,1,6,6,2019,18,45,13465
SpiceJet,8,Chennai,1,Kolkata,4,21,5,2019,17,45,3543
Multiple carriers,6,Delhi,2,Cochin,1,27,6,2019,19,0,7198
Jet Airways,4,Delhi,2,Cochin,1,1,6,2019,8,0,10262
IndiGo,3,Kolkata,3,Banglore,0,15,3,2019,15,20,4148
Jet Airways,4,Banglore,0,Delhi,2,27,6,2019,15,15,8016
Jet Airways,4,Delhi,2,Cochin,1,9,6,2019,22,50,10262
SpiceJet,8,Kolkata,3,Banglore,0,15,6,2019,14,55,3841
Jet Airways,4,Banglore,0,Delhi,2,12,3,2019,9,45,11507
Jet Airways,4,Kolkata,3,Banglore,0,1,5,2019,8,25,14781
Jet Airways,4,Delhi,2,Cochin,1,27,5,2019,17,30,16079
Jet Airways,4,Delhi,2,Cochin,1,27,5,2019,22,50,12898
Multiple carriers,6,Delhi,2,Cochin,1,6,3,2019,7,30,15353
IndiGo,3,Banglore,0,Delhi,2,24,3,2019,18,25,7303
SpiceJet,8,Kolkata,3,Banglore,0,24,3,2019,15,5,6197
Air India,1,Kolkata,3,Banglore,0,9,6,2019,9,10,8996
IndiGo,3,Delhi,2,Cochin,1,21,3,2019,14,20,6528
GoAir,2,Banglore,0,Delhi,2,9,4,2019,20,55,4239
IndiGo,3,Kolkata,3,Banglore,0,12,3,2019,20,25,4148
SpiceJet,8,Banglore,0,Delhi,2,24,5,2019,21,10,3971
Air Asia,0,Kolkata,3,Banglore,0,6,5,2019,7,35,5192
Jet Airways,4,Delhi,2,Cochin,1,9,4,2019,13,25,9483
Jet Airways,4,Delhi,2,Cochin,1,3,6,2019,11,40,18804
Air India,1,Delhi,2,Cochin,1,18,6,2019,5,10,5201
Jet Airways,4,Delhi,2,Cochin,1,27,5,2019,11,30,16079
Jet Airways,4,Banglore,0,Delhi,2,15,6,2019,19,50,7229
Multiple carriers,6,Delhi,2,Cochin,1,27,5,2019,17,45,6795
Jet Airways,4,Kolkata,3,Banglore,0,9,5,2019,9,35,10953
Multiple carriers,6,Delhi,2,Cochin,1,24,6,2019,15,5,15965
Air India,1,Delhi,2,Cochin,1,9,4,2019,12,55,9968
IndiGo,3,Kolkata,3,Banglore,0,6,6,2019,22,15,4804
Jet Airways,4,Delhi,2,Cochin,1,27,5,2019,10,0,16079
Jet Airways,4,Delhi,2,Cochin,1,12,6,2019,21,25,11507
Air India,1,Kolkata,3,Banglore,0,9,6,2019,9,25,11542
Jet Airways,4,Banglore,0,Delhi,2,24,4,2019,17,45,7229
Jet Airways,4,Banglore,0,Delhi,2,27,4,2019,6,0,4544
IndiGo,3,Delhi,2,Cochin,1,15,5,2019,5,10,6496
IndiGo,3,Kolkata,3,Banglore,0,15,6,2019,21,25,4804
Air India,1,Banglore,0,Delhi,2,1,3,2019,11,5,13439
Jet Airways,4,Delhi,2,Cochin,1,27,3,2019,18,15,6540
IndiGo,3,Banglore,0,Delhi,2,1,6,2019,23,30,4591
IndiGo,3,Banglore,0,Delhi,2,18,3,2019,16,15,4437
Air Asia,0,Delhi,2,Cochin,1,21,3,2019,20,10,6151
Jet Airways,4,Banglore,0,Delhi,2,21,6,2019,17,45,7754
Jet Airways,4,Delhi,2,Cochin,1,24,6,2019,14,0,10262
Jet Airways,4,Banglore,0,Delhi,2,9,6,2019,18,55,8016
SpiceJet,8,Kolkata,3,Banglore,0,24,3,2019,6,55,4781
Vistara,10,Banglore,0,Delhi,2,27,6,2019,11,30,4668
Air India,1,Banglore,0,Delhi,2,6,3,2019,11,50,14594
Jet Airways,4,Kolkata,3,Banglore,0,24,3,2019,16,55,14231
Air India,1,Delhi,2,Cochin,1,15,5,2019,5,15,8425
Multiple carriers,6,Delhi,2,Cochin,1,12,6,2019,7,5,9646
IndiGo,3,Chennai,1,Kolkata,4,3,3,2019,14,40,7295
Air Asia,0,Kolkata,3,Banglore,0,9,4,2019,6,50,5162
IndiGo,3,Banglore,0,Delhi,2,9,3,2019,18,25,6860
Vistara,10,Delhi,2,Cochin,1,15,4,2019,6,0,6216
Air Asia,0,Kolkata,3,Banglore,0,24,5,2019,7,35,5192
IndiGo,3,Banglore,0,Delhi,2,9,4,2019,20,0,4823
SpiceJet,8,Banglore,0,Delhi,2,3,4,2019,9,30,3919
IndiGo,3,Mumbai,4,Hyderabad,3,3,6,2019,19,5,2754
Multiple carriers,6,Delhi,2,Cochin,1,9,5,2019,7,30,9315
Multiple carriers,6,Delhi,2,Cochin,1,27,3,2019,10,0,11667
Jet Airways,4,Kolkata,3,Banglore,0,12,6,2019,8,25,6224
Air India,1,Kolkata,3,Banglore,0,24,3,2019,9,25,13349
